Lambda (nm)	qext	qsca	qabs
1.31	0.2332263607866478	0.19016889433227005	0.043057466454377746
1.315	0.22972665948451937	0.18701089441847432	0.04271576506604505
1.32	0.2263803027885551	0.18390154830247235	0.04247875448608274
1.325	0.22302100756546145	0.18086794496027092	0.04215306260519053
1.33	0.21963558587934842	0.17789821387468654	0.04173737200466188
1.335	0.21638981986822511	0.17498804707451165	0.04140177279371346
1.34	0.21347726755308544	0.1721293692431389	0.041347898309946535
1.345	0.21042472163228557	0.16933574800860254	0.04108897362368302
1.35	0.2073565603257698	0.1665959927427179	0.04076056758305188
1.355	0.20433091939928558	0.1639156807799018	0.040415238619383786
1.43	0.16646538130099667	0.12953060496073987	0.0369347763402568
1.435	0.16436010751730368	0.1275769758556921	0.03678313166161157
1.44	0.1622798859948514	0.12565968470457914	0.03662020129027227
1.445	0.16016870698919572	0.12378193941335042	0.0363867675758453
1.45	0.158117441258172	0.12193134271622812	0.03618609854194389
1.455	0.15608538212622491	0.12012537673028885	0.035960005395936065
1.46	0.15411078542514936	0.11834892961680922	0.03576185580834014
1.465	0.1522040918453257	0.11660586942856992	0.035598222416755795
1.47	0.15046289457995835	0.11489500176023758	0.03556789281972077
1.475	0.14837353579012288	0.11321770169503553	0.03515583409508735
1.48	0.1467727603283793	0.11156934903561722	0.03520341129276208
1.485	0.14479550576777983	0.10994906773638372	0.034846438031396115
1.49	0.14317896330950883	0.1083601488634415	0.034818814446067325
1.495	0.14136971197330045	0.10679961188564738	0.03457010008765307
1.5	0.13975486583211844	0.10526825669817327	0.03448660913394516
1.505	0.13805551384146084	0.10376353333552006	0.034291980505940775
1.51	0.13644917505305468	0.10228603084600167	0.034163144207053006
1.515	0.13484826237418474	0.10083241702349602	0.03401584535068872
1.52	0.13339621878727106	0.0994081392386199	0.03398807954865117
1.525	0.13176289092020096	0.0980088981276261	0.03375399279257486
1.53	0.1303386859649308	0.09663460729125527	0.033704078673675544
1.535	0.12888914305836768	0.09528431191250586	0.033604831145861824
1.54	0.12739962828280826	0.09395665191812352	0.03344297636468474
1.545	0.1259376220054688	0.09265433819285845	0.03328328381261034
1.55	0.12451661445811336	0.09137434509052894	0.03314226936758442
1.555	0.12312241179017507	0.090114282628609	0.03300812916156606
1.56	0.12180060937143772	0.08887803580658914	0.03292257356484858
1.565	0.12048495315868413	0.08766356491465405	0.03282138824403008
1.57	0.11913119528464064	0.08646637321365112	0.032664822070989516
1.575	0.11771743519403192	0.08529390285742117	0.03242353233661076
1.58	0.11655377760058358	0.08413976222178975	0.032414015378793834
1.585	0.11524482305359676	0.08300446739636941	0.032240355657227354
1.59	0.11408741231175823	0.08188885563499765	0.03219855667676058
1.595	0.11268356305103777	0.08079314079482522	0.03189042225621255
1.6	0.11144122910213562	0.07971618046711879	0.031725048635016836
1.605	0.11018442405996315	0.07865699144237225	0.0315274326175909
1.61	0.10927518618513865	0.07761319665261217	0.03166198953252648
1.615	0.10806471890397229	0.0765882665082718	0.03147645239570049
1.62	0.10698959860513954	0.07557811303803673	0.03141148556710281
1.625	0.10589849240994922	0.07458959809760055	0.03130889431234868
1.63	0.10482530298978832	0.07361485825033838	0.031210444739449936
1.635	0.10364947975647376	0.0726559190093153	0.030993560747158463
1.64	0.10265688415079716	0.07171306985190343	0.03094381429889373
1.645	0.10159693496177356	0.07078707385020751	0.030809861111566056
1.65	0.10064047441380734	0.06987326562686438	0.03076720878694296
1.655	0.09970235494221669	0.06897599792898135	0.03072635701323534
1.66	0.09850130022317127	0.06809259846134194	0.030408701761829332
1.665	0.09743053131796904	0.06722296474212461	0.030207566575844433
1.67	0.09604697987147162	0.06636890489726707	0.02967807497420455
1.675	0.09418753015698411	0.06552745615093228	0.028660074006051833
1.68	0.09319464296023934	0.06469997141524286	0.028494671544996478
1.685	0.09259517074333438	0.06388219982398176	0.028712970919352626
1.69	0.09280306803346457	0.063080022479412	0.02972304555405257
1.695	0.09262578750948909	0.06229027769739182	0.030335509812097268
1.7	0.0922502217765468	0.0615140993606648	0.030736122415882007
